"photographer","nationality","birth_place","bp_lon","bp_lat","death_place","dp_lon","dp_lat","n_photo","party_type","birth_date","death_date","birth_year","death_year","first_name","gender","age_at_death"
"Robert Mapplethorpe","American","New York City (New York state, United States)","-74.0059728","40.712775","New York City (New York state, United States)","-74.0059728","40.712775",1,"Person","1947-01-01","1989-01-01","1947","1989","Robert","male",42
"Robert W. Off","American","Chicago, IL","-87.6297982","41.878114","Ligonier, PA","-79.2375325","40.243128",16,"Person","1919-10-12","2010-09-03","1919","2010","Robert","male",91
"Rudy Burckhardt","American","Basel (Basel-Stadt, Switzerland)","7.5885761","47.559599",NA,NA,NA,1,"Person","1914-01-01","1999-01-01","1914","1999","Rudy","male",85
"Russell Lee","American","Ottawa, IL","-88.8425769","41.345589","Austin, TX","-97.7430608","30.267153",4,"Person","1903-07-21","1986-08-28","1903","1986","Russell","male",83
"Salvatore Pinto","American","Casal Velino, Salerno, Italy","15.1110081","40.190784","Philadelphia, PA","-75.1652215","39.952584",1,"Person","1905-01-01","1966-01-01","1905","1966","Salvatore","male",61
"Scott Conarroe","Canadian","Edmonton, Alberta, Canada","-113.4909267","53.544389",NA,NA,NA,1,"Person","1974-01-01",NA,"1974",NA,"Scott","male",NA
"Seth Dickerman","American","New York","-74.0059728","40.712775",NA,NA,NA,1,"Person","1956-01-01",NA,"1956",NA,"Seth","male",NA
"Shen Wei","Chinese","Shanghai, China","121.4737021","31.230390",NA,NA,NA,1,"Person","1977-01-01",NA,"1977",NA,"Shen","male",NA
"Siwa Mgoboza","South African","Cape Town, South Africa","18.4240553","-33.924869",NA,NA,NA,2,"Person","1993-01-01",NA,"1993",NA,"Siwa","female",NA
"Tanya Habjouqa","Jordanian","Jordan","36.2384140","30.585164",NA,NA,NA,5,"Person","1975-01-01",NA,"1975",NA,"Tanya","female",NA
"Terry deRoy Gruber","American","Pittsburgh, Pa.","-79.9958864","40.440625",NA,NA,NA,1,"Person","1953-01-01",NA,"1953",NA,"Terry","male",NA
"Theodore Roszak","American","Poznan (Wielkopolskie voivodship, Poland)","16.9251681","52.406374","New York City (New York state, United States)","-74.0059728","40.712775",1,"Person","1907-01-01","1981-01-01","1907","1981","Theodore","male",74
"Tina Barney","American","New York City (New York state, United States)","-74.0059728","40.712775",NA,NA,NA,1,"Person","1945-01-01",NA,"1945",NA,"Tina","female",NA
"Todd Webb","American","Detroit, MI","-83.0457538","42.331427","Maine","-69.4454689","45.253783",18,"Person","1905-01-01","2000-01-01","1905","2000","Todd","male",95
"Trevor McClurg","American","Philadelphia (Philadelphia county, Pennsylvania, United States)","-75.1652215","39.952584",NA,NA,NA,4,"Person","1816-01-01","1893-01-01","1816","1893","Trevor","male",77
"Victor Landweber","American","Washington (DC, United States)","-77.0368707","38.907192",NA,NA,NA,3,"Person","1943-01-01",NA,"1943",NA,"Victor","male",NA
"W. Eugene Smith","American","Wichita, Kansas","-97.3300530","37.687176",NA,NA,NA,49,"Person","1918-01-01","1978-01-01","1918","1978","W.",NA,60
"Walery (Stanislaw Julian Ignacy, Count Ostrorog)","English","Poland","19.1451360","51.919438",NA,NA,NA,1,"Person","1863-01-01","1935-01-01","1863","1935","Walery",NA,72
"Walker Evans","American","St. Louis, Missouri","-90.1994042","38.627003","New Haven, Connecticut","-72.9278835","41.308274",2,"Person","1903-11-03","1975-04-10","1903","1975","Walker","male",72
"Walter Rosenblum","American","New York","-74.0059728","40.712775",NA,NA,NA,6,"Person","1919-01-01","2006-01-01","1919","2006","Walter","male",87
"William Eggleston","American","Memphis, TN","-90.0489801","35.149534",NA,NA,NA,15,"Person","1939-07-27",NA,"1939",NA,"William","male",NA
"William H. Whitehead","American",NA,NA,NA,NA,NA,NA,5,"Person","1860-01-01","1880-01-01","1860","1880","William","male",20
"William Heick","American","San Francisco, California, USA","-122.4194155","37.774929",NA,NA,NA,1,"Person","1916-01-01",NA,"1916",NA,"William","male",NA
"William Henry Jackson","American","Keeseville (Clinton county, New York state, United States)","-73.4801348","44.505048","New York City (New York state, United States)","-74.0059728","40.712775",1,"Person","1843-01-01","1942-01-01","1843","1942","William","male",99
"William Larson","American","North Tonawanda, NY","-78.8642033","43.038668",NA,NA,NA,2,"Person","1942-01-01",NA,"1942",NA,"William","male",NA
"Yousuf Karsh","Canadian","Mardin (Mardin province, South-East Anatolian Region, Turkey)","40.7339510","37.312903","Boston, MA","-71.0588801","42.360082",3,"Person","1908-01-01","2002-01-01","1908","2002","Yousuf","male",94
"H.G. Wells",NA,NA,NA,NA,NA,NA,NA,11,"Person",NA,NA,NA,NA,"H.",NA,NA
"Robert Adamson","Scottish","Scotland (United Kingdom)","-4.202646","56.49067","Saint Andrews (Fife, Scotland, United Kingdom)","-2.796721","56.33978",22,"Person","1821-01-01","1848-01-01","1821","1848","Robert","male",27
"Willard Van Dyck","American",NA,NA,NA,NA,NA,NA,47,"Person","1906-01-01","1986-01-01","1906","1986","Willard","male",80
"J. N. Glogger","American",NA,NA,NA,NA,NA,NA,11,"Person","1850-01-01",NA,"1850",NA,"J.",NA,NA
"Sanford M. Robinson","American",NA,NA,NA,NA,NA,NA,4,"Person","1833-01-01","1901-01-01","1833","1901","Sanford","male",68
"John Earle","American",NA,NA,NA,NA,NA,NA,11,"Person","1844-01-01","1905-01-01","1844","1905","John","male",61
"John Collier","American",NA,NA,NA,"San Jose, Costa Rica","-84.0907246","9.928069",9,"Person","1913-01-01","1992-01-01","1913","1992","John","male",79
"Sol Libsohn","American",NA,NA,NA,"Princeton, NJ","-74.6672226","40.357298",18,"Person","1914-01-01","2001-01-01","1914","2001","Sol","female",87
"A. Hausold","American",NA,NA,NA,NA,NA,NA,1,"Person","1860-01-01",NA,"1860",NA,"A.",NA,NA
"A. M. Thompson","American",NA,NA,NA,NA,NA,NA,1,"Person","1860-01-01",NA,"1860",NA,"A.",NA,NA
"Abraham Sissman","American",NA,NA,NA,NA,NA,NA,1,"Person","1912-01-01","1940-01-01","1912","1940","Abraham","male",28
"Abram M. Brown","American",NA,NA,NA,NA,NA,NA,28,"Person","1888-01-01","1970-01-01","1888","1970","Abram","male",82
"Alan H. Sperling","American",NA,NA,NA,NA,NA,NA,1,"Person",NA,NA,NA,NA,"Alan","male",NA
"Altwater & Brother","American",NA,NA,NA,NA,NA,NA,5,"Organization",NA,NA,NA,NA,"Altwater",NA,NA
"Anonymous","undetermined",NA,NA,NA,NA,NA,NA,4,"Person",NA,NA,NA,NA,"Anonymous",NA,NA
"Antonio Pardo Soublette","Venezuelan",NA,NA,NA,NA,NA,NA,1,"Person","1893-01-01","1985-01-01","1893","1985","Antonio","male",92
"Arnold Eagle","American",NA,NA,NA,NA,NA,NA,6,"Person","1909-01-01","1992-01-01","1909","1992","Arnold","male",83
"Arthur Mones","American",NA,NA,NA,NA,NA,NA,15,"Person","1919-01-01","1998-01-01","1919","1998","Arthur","male",79
"Aufrecht","American",NA,NA,NA,NA,NA,NA,4,"Person","1870-01-01","1880-01-01","1870","1880","Aufrecht",NA,NA
"Aufrecht's New Elite","American",NA,NA,NA,NA,NA,NA,1,"Organization","1860-01-01",NA,"1860",NA,"Aufrecht",NA,NA
"B. D. Strauch","American",NA,NA,NA,NA,NA,NA,4,"Person",NA,NA,NA,NA,"B.",NA,NA
"B. L. H. Dabbs","American",NA,NA,NA,NA,NA,NA,16,"Person","1839-01-01","1899-01-01","1839","1899","B.",NA,60
"B. L. H. Dabbs and Others","American",NA,NA,NA,NA,NA,NA,1,"Organization","1839-01-01","1899-01-01","1839","1899","B.",NA,60
"Bachrach","American",NA,NA,NA,NA,NA,NA,1,"Organization",NA,NA,NA,NA,"Bachrach",NA,NA
"Baldwin","American",NA,NA,NA,NA,NA,NA,1,"Person",NA,NA,NA,NA,"Baldwin","male",NA
"Bauer and Co.","American",NA,NA,NA,NA,NA,NA,1,"Organization","1860-01-01",NA,"1860",NA,"Bauer","male",NA
"Beebe","American",NA,NA,NA,NA,NA,NA,1,"Person","1860-01-01",NA,"1860",NA,"Beebe","female",NA
"Bernhard Prinz","German",NA,NA,NA,NA,NA,NA,1,"Person","1953-01-01",NA,"1953",NA,"Bernhard","male",NA
"Bernhard Wagner","German",NA,NA,NA,NA,NA,NA,1,"Person",NA,NA,NA,NA,"Bernhard","male",NA
"Bets","American",NA,NA,NA,NA,NA,NA,1,"Person","1860-01-01",NA,"1860",NA,"Bets","female",NA
"Bremer and Judge Associates, Rembrandt Studios","American",NA,NA,NA,NA,NA,NA,2,"Organization",NA,NA,NA,NA,"Bremer",NA,NA
"Brett Weston","American",NA,NA,NA,NA,NA,NA,1,"Person","1911-01-01","1993-01-01","1911","1993","Brett","male",82
"Broadbent & Taylor","American",NA,NA,NA,NA,NA,NA,1,"Organization",NA,"1880-01-01",NA,"1880","Broadbent",NA,NA
"Broadbent Brothers","American",NA,NA,NA,NA,NA,NA,1,"Organization","1884-01-01",NA,"1884",NA,"Broadbent",NA,NA
"Bruce Cratsley","American",NA,NA,NA,NA,NA,NA,1,"Person","1944-01-01","1998-01-01","1944","1998","Bruce","male",54
"Bruno Requillart","French",NA,NA,NA,NA,NA,NA,3,"Person","1947-01-01",NA,"1947",NA,"Bruno","male",NA
"Burggraf","American",NA,NA,NA,NA,NA,NA,5,"Person","1860-01-01",NA,"1860",NA,"Burggraf",NA,NA
"C. D. McCurdy","American",NA,NA,NA,NA,NA,NA,1,"Person","1860-01-01",NA,"1860",NA,"C.",NA,NA
"C. G. Agrell","American",NA,NA,NA,NA,NA,NA,7,"Person","1885-01-01","1890-01-01","1885","1890","C.",NA,NA
"C. H. Roblot","French",NA,NA,NA,NA,NA,NA,1,"Person",NA,NA,NA,NA,"C.",NA,NA
"C. W. Bunting","American",NA,NA,NA,NA,NA,NA,1,"Person",NA,NA,NA,NA,"C.",NA,NA
"C. Yarnall Abbott","American",NA,NA,NA,NA,NA,NA,1,"Person","1870-01-01","1938-01-01","1870","1938","C.",NA,68
"Carlos F. Peterson","American",NA,NA,NA,NA,NA,NA,1,"Person","1949-01-01",NA,"1949",NA,"Carlos","male",NA
"Charlee Brodsky","American",NA,NA,NA,NA,NA,NA,12,"Person","1950-01-01",NA,"1950",NA,"Charlee","female",NA
"Charles K. Archer","American",NA,NA,NA,NA,NA,NA,4,"Person","1885-01-01","1969-01-01","1885","1969","Charles","male",84
"Chauncey M. Morley","American",NA,NA,NA,NA,NA,NA,4,"Person",NA,NA,NA,NA,"Chauncey","male",NA
"Chris Shaw","British",NA,NA,NA,NA,NA,NA,5,"Person","1961-01-01",NA,"1961",NA,"Chris","male",NA
"Christopher James","American",NA,NA,NA,NA,NA,NA,12,"Person","1947-01-01",NA,"1947",NA,"Christopher","male",NA
"Cochran and Wilson","American",NA,NA,NA,NA,NA,NA,1,"Organization","1860-01-01",NA,"1860",NA,"Cochran",NA,NA
"Conrad Frederic Haeseler","American",NA,NA,NA,NA,NA,NA,1,"Person",NA,NA,NA,NA,"Conrad","male",NA
"Constance E. Hanna","American",NA,NA,NA,NA,NA,NA,1,"Person","1960-01-01",NA,"1960",NA,"Constance","female",NA
"Craig J. Barber","American",NA,NA,NA,NA,NA,NA,1,"Person","1947-01-01",NA,"1947",NA,"Craig","male",NA
"Curtis W. Taylor & Co.","American",NA,NA,NA,NA,NA,NA,1,"Organization",NA,NA,NA,NA,"Curtis","male",NA
"D. B. Chase","American",NA,NA,NA,NA,NA,NA,2,"Person","1860-01-01",NA,"1860",NA,"D.",NA,NA
"Dan Wynn","American",NA,NA,NA,NA,NA,NA,1,"Person","1920-01-01","1995-01-01","1920","1995","Dan","male",75
"David Aschkenas","American",NA,NA,NA,NA,NA,NA,2,"Person","1951-01-01",NA,"1951",NA,"David","male",NA
"David Avison","American",NA,NA,NA,NA,NA,NA,1,"Person","1937-01-01","2004-01-01","1937","2004","David","male",67
"David J. Hess","American",NA,NA,NA,NA,NA,NA,9,"Person",NA,NA,NA,NA,"David","male",NA
"David R. Craig","American",NA,NA,NA,NA,NA,NA,2,"Person",NA,NA,NA,NA,"David","male",NA
"Davis and Sanford","American",NA,NA,NA,NA,NA,NA,4,"Organization","1892-01-01","1915-01-01","1892","1915","Davis","male",23
"Davis Mahan","American",NA,NA,NA,NA,NA,NA,3,"Person","1866-01-01","1902-01-01","1866","1902","Davis","male",36
"Dennis Marsico","American",NA,NA,NA,NA,NA,NA,1,"Person","1948-01-01",NA,"1948",NA,"Dennis","male",NA
"Detroit Publishing Company","American",NA,NA,NA,NA,NA,NA,1,"Organization","1895-01-01","1932-01-01","1895","1932","Detroit","male",37
"Diana Shearwood","Canadian",NA,NA,NA,NA,NA,NA,1,"Person","1954-01-01",NA,"1954",NA,"Diana","female",NA
"Dr. Charles Peabody","American",NA,NA,NA,NA,NA,NA,1,"Person",NA,NA,NA,NA,"Dr.","female",NA
"Dr. Lee M. Hershenson","American",NA,NA,NA,NA,NA,NA,2,"Person","1927-01-01",NA,"1927",NA,"Dr.","female",NA
"Dubin Advertising, Inc.","American",NA,NA,NA,NA,NA,NA,1,"Organization",NA,NA,NA,NA,"Dubin",NA,NA
"Dudley L. Stouch","American",NA,NA,NA,NA,NA,NA,1,"Person",NA,NA,NA,NA,"Dudley","male",NA
"Dwight A. Davis","American",NA,NA,NA,NA,NA,NA,3,"Person","1852-01-01","1944-01-01","1852","1944","Dwight","male",92
"Elijah Gowin","American",NA,NA,NA,NA,NA,NA,2,"Person","1967-01-01",NA,"1967",NA,"Elijah","male",NA
"Ellen Carey","American",NA,NA,NA,NA,NA,NA,1,"Person","1952-01-01",NA,"1952",NA,"Ellen","female",NA
"Emily Pitchford","American",NA,NA,NA,NA,NA,NA,1,"Person","1878-01-01","1954-01-01","1878","1954","Emily","female",76
"Erik Lauritzen","American",NA,NA,NA,NA,NA,NA,3,"Person","1953-01-01","2007-01-01","1953","2007","Erik","male",54
"Ern. K. Weller","American",NA,NA,NA,NA,NA,NA,1,"Person","1860-01-01",NA,"1860",NA,"Ern.","male",NA
"Ethel Grant Scott","American",NA,NA,NA,NA,NA,NA,1,"Person",NA,NA,NA,NA,"Ethel","female",NA
"Eva Watson-Schutze","American",NA,NA,NA,NA,NA,NA,1,"Person","1867-01-01","1935-01-01","1867","1935","Eva","female",68
"F. A. Tremaine & Co.","American",NA,NA,NA,NA,NA,NA,2,"Organization",NA,NA,NA,NA,"F.",NA,NA
"F. C. Dwight","American",NA,NA,NA,NA,NA,NA,1,"Person","1860-01-01",NA,"1860",NA,"F.",NA,NA
"F. C. Schmid","American",NA,NA,NA,NA,NA,NA,1,"Person","1860-01-01",NA,"1860",NA,"F.",NA,NA
"F. E. Dwight","American",NA,NA,NA,NA,NA,NA,1,"Person","1860-01-01",NA,"1860",NA,"F.",NA,NA
"F. Holland Day","American",NA,NA,NA,NA,NA,NA,1,"Person","1864-01-01","1933-01-01","1864","1933","F.",NA,69
"F. L. Huff","American",NA,NA,NA,NA,NA,NA,1,"Person",NA,NA,NA,NA,"F.",NA,NA
"F. Ross Altwater","American",NA,NA,NA,NA,NA,NA,20,"Person","1886-01-01","1959-01-01","1886","1959","F.",NA,73
"Fannie Coburn","undetermined",NA,NA,NA,NA,NA,NA,1,"Person",NA,NA,NA,NA,"Fannie","female",NA
"Fleissner","American",NA,NA,NA,NA,NA,NA,2,"Person",NA,NA,NA,NA,"Fleissner",NA,NA
"Fran Erzen","American",NA,NA,NA,NA,NA,NA,1,"Person","1917-01-01","1993-01-01","1917","1993","Fran","female",76
"Fran Nestler","American",NA,NA,NA,NA,NA,NA,4,"Person","1920-01-01","2005-01-01","1920","2005","Fran","female",85
"Francis Bruguiere","American",NA,NA,NA,NA,NA,NA,1,"Person","1879-01-01","1945-01-01","1879","1945","Francis","male",66
"Frederic Ohringer","American",NA,NA,NA,NA,NA,NA,1,"Person","1940-01-01",NA,"1940",NA,"Frederic","male",NA
"Frederick Bulkeley Hyde","American",NA,NA,NA,NA,NA,NA,1,"Person",NA,NA,NA,NA,"Frederick","male",NA
"Frederick Evans","American",NA,NA,NA,NA,NA,NA,2,"Person","1852-01-01","1943-01-01","1852","1943","Frederick","male",91
"Frederick G. Hartz","American",NA,NA,NA,NA,NA,NA,2,"Person",NA,NA,NA,NA,"Frederick","male",NA
"Frederick H. Pratt","American",NA,NA,NA,NA,NA,NA,2,"Person","1873-01-01","1958-01-01","1873","1958","Frederick","male",85
"Frommeyer","American",NA,NA,NA,NA,NA,NA,1,"Person","1860-01-01",NA,"1860",NA,"Frommeyer",NA,NA
"Garry Winogrand","American",NA,NA,NA,NA,NA,NA,17,"Person","1928-01-01","1984-01-01","1928","1984","Garry","male",56
"George H. Seeley","American",NA,NA,NA,NA,NA,NA,2,"Person","1880-01-01","1955-01-01","1880","1955","George","male",75
"George Hurrell","American",NA,NA,NA,NA,NA,NA,8,"Person","1904-01-01","1992-01-01","1904","1992","George","male",88
"George Lange","American",NA,NA,NA,NA,NA,NA,1,"Person","1955-01-01",NA,"1955",NA,"George","male",NA
"George Swaine","American",NA,NA,NA,NA,NA,NA,1,"Person",NA,NA,NA,NA,"George","male",NA
"Guglielmo von Plüschow","German",NA,NA,NA,NA,NA,NA,1,"Person","1852-01-01","1930-01-01","1852","1930","Guglielmo","male",78
"H. C. Phillips","American",NA,NA,NA,NA,NA,NA,1,"Person","1860-01-01",NA,"1860",NA,"H.",NA,NA
"H. Renzelman","American",NA,NA,NA,NA,NA,NA,3,"Person",NA,NA,NA,NA,"H.",NA,NA
"H. Sonnenberg","American",NA,NA,NA,NA,NA,NA,5,"Person","1874-01-01","1904-01-01","1874","1904","H.",NA,30
"Harold Edgerton","American",NA,NA,NA,NA,NA,NA,5,"Person","1903-01-01","1990-01-01","1903","1990","Harold","male",87
"Harry C. Rubincam","American",NA,NA,NA,NA,NA,NA,1,"Person","1871-01-01","1940-01-01","1871","1940","Harry","male",69
"Harvey Stein","American",NA,NA,NA,NA,NA,NA,2,"Person","1941-01-01",NA,"1941",NA,"Harvey","male",NA
"Heather Mull","American",NA,NA,NA,NA,NA,NA,1,"Person","1969-01-01",NA,"1969",NA,"Heather","female",NA
"Helen Levitt","American",NA,NA,NA,NA,NA,NA,7,"Person","1913-01-01","2009-01-01","1913","2009","Helen","female",96
"Henry Chalfant","American",NA,NA,NA,NA,NA,NA,1,"Person","1940-01-01",NA,"1940",NA,"Henry","male",NA
"Henry Pfaff","American",NA,NA,NA,NA,NA,NA,1,"Person","1870-01-01","1899-12-31","1870","1899","Henry","male",29
"Hester and Beaudry","American",NA,NA,NA,NA,NA,NA,2,"Organization",NA,NA,NA,NA,"Hester","female",NA
"Histeel","American",NA,NA,NA,NA,NA,NA,1,"Person","1890-01-01",NA,"1890",NA,"Histeel",NA,NA
"Holmes I. Mettee","American",NA,NA,NA,NA,NA,NA,26,"Person","1881-01-01","1947-01-01","1881","1947","Holmes","male",66
"Hornick","American",NA,NA,NA,NA,NA,NA,1,"Person",NA,NA,NA,NA,"Hornick",NA,NA
"Hough & Anthony","American",NA,NA,NA,NA,NA,NA,3,"Organization","1846-01-01","1855-01-01","1846","1855","Hough",NA,NA
"Howard M. Arbogast","American",NA,NA,NA,NA,NA,NA,1,"Person",NA,NA,NA,NA,"Howard","male",NA
"Huber Brothers","American",NA,NA,NA,NA,NA,NA,1,"Organization",NA,NA,NA,NA,"Huber","male",NA
"J. D. 'Okhai Ojeikere","Nigerian",NA,NA,NA,NA,NA,NA,1,"Person","1930-01-01",NA,"1930",NA,"J.",NA,NA
"J. D. Sloan","American",NA,NA,NA,NA,NA,NA,1,"Person",NA,NA,NA,NA,"J.",NA,NA
"J. H. Henning","American",NA,NA,NA,NA,NA,NA,1,"Person","1860-01-01",NA,"1860",NA,"J.",NA,NA
"J. K. Cole","American",NA,NA,NA,NA,NA,NA,2,"Person","1860-01-01",NA,"1860",NA,"J.",NA,NA
"J. R. Pearson","American",NA,NA,NA,NA,NA,NA,1,"Person","1871-01-01","1896-01-01","1871","1896","J.",NA,25
"J. W. Morrison","American",NA,NA,NA,NA,NA,NA,2,"Person","1860-01-01",NA,"1860",NA,"J.",NA,NA
"Jack D. Mahony","American",NA,NA,NA,NA,NA,NA,1,"Person",NA,NA,NA,NA,"Jack","male",NA
"Jack M. Judge","American",NA,NA,NA,NA,NA,NA,1,"Person",NA,NA,NA,NA,"Jack","male",NA
"Jacqueline Thurston","American",NA,NA,NA,NA,NA,NA,19,"Person","1939-01-01",NA,"1939",NA,"Jacqueline","female",NA
"James O. Milmoe","American",NA,NA,NA,NA,NA,NA,3,"Person","1927-01-01",NA,"1927",NA,"James","male",NA
"James Wesley Morar","American",NA,NA,NA,NA,NA,NA,1,"Person","1955-01-01",NA,"1955",NA,"James","male",NA
"Jann Kwasneski","American",NA,NA,NA,NA,NA,NA,3,"Person","1956-01-01",NA,"1956",NA,"Jann","female",NA
"Jared French","American",NA,NA,NA,NA,NA,NA,1,"Person","1905-01-01","1988-01-01","1905","1988","Jared","male",83
"Jarrett Bros.","American",NA,NA,NA,NA,NA,NA,1,"Organization","1860-01-01",NA,"1860",NA,"Jarrett","male",NA
"Javens","American",NA,NA,NA,NA,NA,NA,1,"Person","1860-01-01",NA,"1860",NA,"Javens",NA,NA
"Jerry Gordon","American",NA,NA,NA,NA,NA,NA,4,"Person","1949-01-01","1997-01-01","1949","1997","Jerry","male",48
"Jerry Lee","undetermined",NA,NA,NA,NA,NA,NA,1,"Person",NA,NA,NA,NA,"Jerry","male",NA
"Johan Hagemeyer","American",NA,NA,NA,NA,NA,NA,1,"Person","1884-01-01","1962-01-01","1884","1962","Johan","male",78
"John Allen","American",NA,NA,NA,NA,NA,NA,1,"Person","1899-12-31",NA,"1899",NA,"John","male",NA
"John Covert","American",NA,NA,NA,NA,NA,NA,13,"Person","1882-01-01","1960-01-01","1882","1960","John","male",78
"John D. Dluzynski","American",NA,NA,NA,NA,NA,NA,1,"Person","1953-01-01",NA,"1953",NA,"John","male",NA
"John Kaplan","American",NA,NA,NA,NA,NA,NA,1,"Person","1959-01-01",NA,"1959",NA,"John","male",NA
"John Nelson","American",NA,NA,NA,NA,NA,NA,1,"Person",NA,"1859-01-01",NA,"1859","John","male",NA
"John Sperber","American",NA,NA,NA,NA,NA,NA,1,"Person","1885-01-01",NA,"1885",NA,"John","male",NA
"John Vachon","American",NA,NA,NA,NA,NA,NA,1,"Person","1914-01-01","1975-01-01","1914","1975","John","male",61
"Johnston and Johnston","American",NA,NA,NA,NA,NA,NA,4,"Organization",NA,NA,NA,NA,"Johnston","male",NA
"Josef Sudek","Czech",NA,NA,NA,NA,NA,NA,1,"Person","1896-01-01","1976-01-01","1896","1976","Josef","male",80
"Joseph A. Rosen","American",NA,NA,NA,NA,NA,NA,2,"Person","1951-01-01",NA,"1951",NA,"Joseph","male",NA
"Joseph T. Keiley","American",NA,NA,NA,NA,NA,NA,1,"Person","1869-01-01","1914-01-01","1869","1914","Joseph","male",45
"Judge","American",NA,NA,NA,NA,NA,NA,7,"Person",NA,NA,NA,NA,"Judge","male",NA
"Karen Glaser","American",NA,NA,NA,NA,NA,NA,1,"Person","1954-01-01",NA,"1954",NA,"Karen","female",NA
"Karen Kaighin","American",NA,NA,NA,NA,NA,NA,2,"Person","1952-01-01",NA,"1952",NA,"Karen","female",NA
"Karl Gernot Kuehn","German",NA,NA,NA,NA,NA,NA,6,"Person","1940-01-01",NA,"1940",NA,"Karl","male",NA
"Keith Carter","American",NA,NA,NA,NA,NA,NA,1,"Person","1948-01-01",NA,"1948",NA,"Keith","male",NA
"L. F. Beaudry","American",NA,NA,NA,NA,NA,NA,2,"Person",NA,NA,NA,NA,"L.",NA,NA
"Len Jenshel","American",NA,NA,NA,NA,NA,NA,1,"Person","1949-01-01",NA,"1949",NA,"Len","male",NA
"Lies","American",NA,NA,NA,NA,NA,NA,1,"Person","1860-01-01",NA,"1860",NA,"Lies","female",NA
"Lois Conner","American",NA,NA,NA,NA,NA,NA,2,"Person","1951-01-01",NA,"1951",NA,"Lois","female",NA
"Lucien Clergue","French",NA,NA,NA,NA,NA,NA,1,"Person","1934-01-01",NA,"1934",NA,"Lucien","male",NA
"Lynn Johnson","American",NA,NA,NA,NA,NA,NA,5,"Person","1953-01-01",NA,"1953",NA,"Lynn","female",NA
"Malick Sidibé","Malian",NA,NA,NA,NA,NA,NA,1,"Person","1936-01-01","2016-01-01","1936","2016","Malick","male",80
"Margueritte Dewitt","undetermined",NA,NA,NA,NA,NA,NA,2,"Person",NA,NA,NA,NA,"Margueritte","female",NA
"Matthew J. Bulvony","American",NA,NA,NA,NA,NA,NA,1,"Person","1948-01-01",NA,"1948",NA,"Matthew","male",NA
"Mayer","American",NA,NA,NA,NA,NA,NA,1,"Person",NA,NA,NA,NA,"Mayer","female",NA
"Michael  Zide","American",NA,NA,NA,NA,NA,NA,1,"Person",NA,NA,NA,NA,"Michael","male",NA
"Michael Chikiris","American",NA,NA,NA,NA,NA,NA,3,"Person","1941-01-01","2003-01-01","1941","2003","Michael","male",62
"Michael Graybrook","American",NA,NA,NA,NA,NA,NA,2,"Person","1950-01-01",NA,"1950",NA,"Michael","male",NA
"Mike Robinson","Canadian",NA,NA,NA,NA,NA,NA,1,"Person","1961-01-01",NA,"1961",NA,"Mike","male",NA
"Morris","American",NA,NA,NA,NA,NA,NA,8,"Person","1860-01-01",NA,"1860",NA,"Morris","male",NA
"Morris Studio","American",NA,NA,NA,NA,NA,NA,1,"Organization","1880-01-01",NA,"1880",NA,"Morris","male",NA
"Morrison","undetermined",NA,NA,NA,NA,NA,NA,1,"Person","1860-01-01",NA,"1860",NA,"Morrison","male",NA
"Mumper","American",NA,NA,NA,NA,NA,NA,3,"Person","1860-01-01",NA,"1860",NA,"Mumper",NA,NA
"Myra Wiggins","American",NA,NA,NA,NA,NA,NA,1,"Person","1869-01-01","1956-01-01","1869","1956","Myra","female",87
"Nancy Jacob","American",NA,NA,NA,NA,NA,NA,2,"Person","1947-01-01",NA,"1947",NA,"Nancy","female",NA
"Nast and Co.","American",NA,NA,NA,NA,NA,NA,1,"Organization","1860-01-01",NA,"1860",NA,"Nast",NA,NA
"Norman M. Jeannero","American",NA,NA,NA,NA,NA,NA,1,"Person","1886-01-01","1954-01-01","1886","1954","Norman","male",68
"Norman Marshall Jeannero","American",NA,NA,NA,NA,NA,NA,2,"Person","1886-01-01","1954-01-01","1886","1954","Norman","male",68
"Orlando E. Romig","American",NA,NA,NA,NA,NA,NA,6,"Person","1898-01-01","1964-01-01","1898","1964","Orlando","male",66
"Oscar C. Reiter","American",NA,NA,NA,NA,NA,NA,1,"Person","1861-01-01","1935-01-01","1861","1935","Oscar","male",74
"P. Rosencrantz","American",NA,NA,NA,NA,NA,NA,2,"Person","1860-01-01",NA,"1860",NA,"P.",NA,NA
"Pach","American",NA,NA,NA,NA,NA,NA,1,"Organization","1867-01-01","1947-01-01","1867","1947","Pach","female",80
"Paul C. Smith","American",NA,NA,NA,NA,NA,NA,1,"Person","1953-01-01",NA,"1953",NA,"Paul","male",NA
"Perry","American",NA,NA,NA,NA,NA,NA,1,"Person",NA,NA,NA,NA,"Perry","male",NA
"Peter Elliston","Australian",NA,NA,NA,NA,NA,NA,1,"Person","1940-01-01",NA,"1940",NA,"Peter","male",NA
"Peter Hujar","American",NA,NA,NA,NA,NA,NA,9,"Person","1934-01-01","1987-01-01","1934","1987","Peter","male",53
"Pittsburgh View and Copying Company","American",NA,NA,NA,NA,NA,NA,3,"Organization","1870-01-01",NA,"1870",NA,"Pittsburgh",NA,NA
"R. M. Cargo","American",NA,NA,NA,NA,NA,NA,1,"Person","1852-01-01","1865-01-01","1852","1865","R.",NA,NA
"R. Tebbs","American",NA,NA,NA,NA,NA,NA,1,"Person",NA,NA,NA,NA,"R.",NA,NA
